No,Penalty Calculation Strategy,Penalty Selection Strategy,Penalty TieBreaker Strategy,Cell Selection Strategy,Cell TieBreaker Strategy,Akurasi (Normal)
1,Two Min,Max Penalty,Min Total Cost,MinCost,Min Top-Bottom Sum,65
2,Two Min,Max Penalty,All Penalties,MinCost,Min Top-Bottom Sum,65
3,Two Min,Max Penalty,Max Total Cost,MinCost,Max Allocation,60
4,Two Min,Max Penalty,Min Total Cost,MinCost,Max Cost Allocation,60
5,Two Min,Max Penalty,Min Total Cost,MinCost,Max Allocation,60
6,Two Min,Max Penalty,Min Total Cost,MinCost,Max Supply,60
7,Two Min,Max Penalty,Max Total Cost,MinCost,Min Top-Bottom Sum,60
8,Two Min,Max Penalty,All Penalties,MinCA,Max Cost Allocation,60
9,Two Min,Max Penalty,Max Total Cost,MinCost,Max Cost Allocation,60
10,Two Min,Max Penalty,All Penalties,MinCA,Max Allocation,60
11,Two Min,Max Penalty,All Penalties,MinCost,Max Cost Allocation,60
12,Two Min,Max Penalty,All Penalties,MinCost,Max Supply,60
13,Two Min,Max Penalty,All Penalties,MinCost,Max Demand,60
14,Two Min,Max Penalty,All Penalties,MinCost,Max Supply and Demand,60
15,Two Min,Max Penalty,All Penalties,MinCost,Max Allocation,60
16,Two Min,Max Penalty,Max Total Cost,MinCost,Max Supply,55
17,Min Max,Max Penalty,All Penalties,MinCA,Min Top-Bottom Sum,55
18,Two Min,Max Penalty,All Penalties,MinCost,Min Supply,55
19,Two Min,Max Penalty,Min Total Cost,MinCost,Max Supply and Demand,55
20,Min Max,Max Penalty,All Penalties,MinCA,Max Supply and Demand,55
21,Min Max,Max Penalty,All Penalties,MinCA,Max Supply Demand Mult,55
22,Min Max,Max Penalty,All Penalties,MinCA,Max Supply,55
23,Two Min,Max Penalty,All Penalties,MinCost,Min Allocation,55
24,Two Min,Max Penalty,All Penalties,MinCost,Index,55
25,Two Min,Max Penalty,All Penalties,MinCA,Max Supply Demand Mult,55
26,Two Min,Max Penalty,Max Total Cost,MinCA,Max Cost Allocation,55
